"ID","Ngôn ngữ","Source Text","Translated Text"
98113,vi_VN,!=,!=
98114,vi_VN,"\""Company History\""","\""Lịch sử Công ty\"""
98115,vi_VN,"\""Parent\"" signifies the parent table in which this row must be added","\""Parent\"" chỉ định bảng cha mà hàng này phải được thêm vào"
98116,vi_VN,"\""Team Members\"" or \""Management\""","\""Thành viên Nhóm\"" hoặc \""Ban Quản lý\"""
98117,vi_VN,"\""amended_from\"" field must be present to do an amendment.","Trường \""amended_from\"" phải có để thực hiện sửa đổi."
98118,vi_VN,"\""{0}\"" is not a valid Google Sheets URL","\""{0}\"" không phải là URL Google Sheets hợp lệ"
98119,vi_VN,#{0},#{0}
98120,vi_VN,${values.doctype_name} has been added to queue for optimization,${values.doctype_name} đã được thêm vào hàng đợi để tối ưu hóa
98121,vi_VN,&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies Pvt. Ltd. và các cộng tác viên
98122,vi_VN,&lt;head&gt; HTML,&lt;head&gt; HTML
98123,vi_VN,'In Global Search' is not allowed for field {0} of type {1},'Tìm kiếm Toàn cục' không được phép cho trường {0} kiểu {1}
98124,vi_VN,'In Global Search' not allowed for type {0} in row {1},'Tìm kiếm Toàn cục' không được phép cho kiểu {0} ở hàng {1}
98125,vi_VN,'In List View' is not allowed for field {0} of type {1},'Trong Chế độ Xem Danh sách' không được phép cho trường {0} kiểu {1}
98126,vi_VN,'In List View' not allowed for type {0} in row {1},'Trong Chế độ Xem Danh sách' không được phép cho kiểu {0} ở hàng {1}
98127,vi_VN,'Recipients' not specified,'Người nhận' không được chỉ định
98128,vi_VN,'{0}' is not a valid IBAN,'{0}' không phải là IBAN hợp lệ
98129,vi_VN,'{0}' is not a valid URL,'{0}' không phải là URL hợp lệ
98130,vi_VN,'{0}' not allowed for type {1} in row {2},'{0}' không được phép cho kiểu {1} ở hàng {2}
98131,vi_VN,(Mandatory),(Bắt buộc)
98132,vi_VN,** Failed: {0} to {1}: {2},** Thất bại: từ {0} đến {1}: {2}
98133,vi_VN,+ Add / Remove Fields,+ Thêm / Xóa Trường
98134,vi_VN,0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Bản nháp; 1 - Đã gửi; 2 - Đã hủy
98135,vi_VN,0 is highest,0 là cao nhất
98136,vi_VN,1 = True & 0 = False,1 = Đúng & 0 = Sai
98137,vi_VN,1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1 Tiền tệ = [?] PhầnVí dụ: 1 USD = 100 Cent
98138,vi_VN,1 Day,1 Ngày
98139,vi_VN,1 Google Calendar Event synced.,1 Sự kiện Google Calendar đã đồng bộ.
98140,vi_VN,1 Report,1 Báo cáo
98141,vi_VN,1 day ago,1 ngày trước
98142,vi_VN,1 hour,1 giờ
98143,vi_VN,1 hour ago,1 giờ trước
98144,vi_VN,1 minute ago,1 phút trước
98145,vi_VN,1 month ago,1 tháng trước
98146,vi_VN,1 of 2,1 trong 2
98147,vi_VN,1 record will be exported,1 bản ghi sẽ được xuất
98148,vi_VN,1 row from {0},1 hàng đã xóa khỏi {0}
98149,vi_VN,1 row to {0},1 hàng đã thêm vào {0}
98150,vi_VN,1 second ago,1 giây trước
98151,vi_VN,1 week ago,1 tuần trước
98152,vi_VN,1 year ago,1 năm trước
98153,vi_VN,2 hours ago,2 giờ trước
98154,vi_VN,2 months ago,2 tháng trước
98155,vi_VN,2 weeks ago,2 tuần trước
98156,vi_VN,2 years ago,2 năm trước
98157,vi_VN,3 minutes ago,3 phút trước
98158,vi_VN,30 minutes,30 phút
98159,vi_VN,4 hours,4 giờ
98160,vi_VN,5 Records,5 Bản ghi
98161,vi_VN,5 days ago,5 ngày trước
98162,vi_VN,; not allowed in condition,; không được phép trong điều kiện
98163,vi_VN,<,<
98164,vi_VN,<=,<=
98165,vi_VN,"<a href=\""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication\"" target=\""_blank\"">  Click here to learn about token-based authentication</a>","<a href=\""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication\"" target=\""_blank\"">  Nhấp vào đây để tìm hiểu về xác thực dựa trên token</a>"
98166,vi_VN,<b>{0}</b> is not a valid URL,<b>{0}</b> không phải là URL hợp lệ
98167,vi_VN,"<div class=\""alert\"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=\""alert\"">Vui lòng không cập nhật nó vì có thể làm hỏng biểu mẫu của bạn. Sử dụng Chế độ Xem Tùy chỉnh Biểu mẫu và Trường Tùy chỉnh để đặt thuộc tính!</div>"
98168,vi_VN,"<div class=\""well\"">    Edit list of Series in the box. Rules:    <ul>        <li>Each Series Prefix on a new line.</li>        <li>Allowed special characters are \""/\"" and \""-\""</li>        <li>            Optionally, set the number of digits in the series using dot (.)            followed by hashes (#). For example, \"".####\"" means that the series            will have four digits. Default is five digits.        </li>        <li>            You can also use variables in the series name by putting them            between (.) dots            <br>            Supported Variables:            <ul>                <li><code>.YYYY.</code> - Year in 4 digits</li>                <li><code>.YY.</code> - Year in 2 digits</li>                <li><code>.MM.</code> - Month</li>                <li><code>.DD.</code> - Day of month</li>                <li><code>.WW.</code> - Week of the year</li>                <li>                    <code>.{fieldname}.</code> - fieldname on the document e.g.                    <code>branch</code>                </li>                <li><code>.FY.</code> - Fiscal Year (requires ERPNext to be installed)</li>                <li><code>.ABBR.</code> - Company Abbreviation (requires ERPNext to be installed)</li>            </ul>        </li>    </ul>    Examples:    <ul>        <li>INV-</li>        <li>INV-10-</li>        <li>INVK-</li>        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>    </ul></div><br>","<div class=\""well\"">    Chỉnh sửa danh sách Series trong hộp. Quy tắc:    <ul>        <li>Mỗi Tiền tố Series trên một dòng mới.</li>        <li>Các ký tự đặc biệt được phép là \""/\"" và \""-\""</li>        <li>            Tùy chọn, đặt số chữ số trong series bằng dấu chấm (.)            theo sau bởi dấu thăng (#). Ví dụ, \"".####\"" có nghĩa là series            sẽ có bốn chữ số. Mặc định là năm chữ số.        </li>        <li>            Bạn cũng có thể sử dụng biến trong tên series bằng cách đặt chúng            giữa các dấu chấm (.)            <br>            Các Biến được Hỗ trợ:            <ul>                <li><code>.YYYY.</code> - Năm với 4 chữ số</li>                <li><code>.YY.</code> - Năm với 2 chữ số</li>                <li><code>.MM.</code> - Tháng</li>                <li><code>.DD.</code> - Ngày trong tháng</li>                <li><code>.WW.</code> - Tuần trong năm</li>                <li>                    <code>.{fieldname}.</code> - tên trường trong tài liệu ví dụ                    <code>branch</code>                </li>                <li><code>.FY.</code> - Năm Tài chính (yêu cầu cài đặt ERPNext)</li>                <li><code>.ABBR.</code> - Viết tắt Công ty (yêu cầu cài đặt ERPNext)</li>            </ul>        </li>    </ul>    Ví dụ:    <ul>        <li>INV-</li>        <li>INV-10-</li>        <li>INVK-</li>        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>    </ul></div><br>"
98169,vi_VN,"<h3>Custom CSS Help</h3>\n<p>Notes:</p>\n<ol><li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li><li>All values are given class <code>value</code></li><li>All Section Breaks are given class <code>section-break</code></li><li>All Column Breaks are given class <code>column-break</code></li></ol>\n<h4>Examples</h4>\n<p>1. Left align integers</p>\n<pre><code>[data-fieldtype=\""Int\""] .value { text-align: left; }</code></pre>\n<p>1. Add border to sections except the last section</p>\n<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>","<h3>Trợ giúp CSS Tùy chỉnh</h3>\n<p>Ghi chú:</p>\n<ol><li>Tất cả nhóm trường (nhãn + giá trị) được đặt thuộc tính <code>data-fieldtype</code> và <code>data-fieldname</code></li><li>Tất cả giá trị được gán class <code>value</code></li><li>Tất cả Ngắt Phần được gán class <code>section-break</code></li><li>Tất cả Ngắt Cột được gán class <code>column-break</code></li></ol>\n<h4>Ví dụ</h4>\n<p>1. Căn trái số nguyên</p>\n<pre><code>[data-fieldtype=\""Int\""] .value { text-align: left; }</code></pre>\n<p>1. Thêm viền cho các phần trừ phần cuối</p>\n<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>"
